AFF_LOVE_POINT	Body za lásku: %d%%
ALIGNMENT_NAME	Hodnost:
CANNOT_ATTACK_DEST_IN_SAFE	Soupeř je příliš daleko.
CANNOT_ATTACK_SELF_IN_SAFE	Odtud nemůžu zaútočit na nepřítele.
CANNOT_EQUIP_IN_EXCHANGE	Když obchoduješ, nemůžeš měnit výzbroj.
CANNOT_EQUIP_IN_SHOP	Když obchoduješ, nemůžeš měnit výzbroj.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nemůžeš soukromý stánek otevřít na veřejném místě.
CANNOT_SHOOT_DEST_IN_SAFE	Nepřítel je příliš daleko.
CANNOT_SHOOT_EMPTY_ARROW	Potřebuji šíp.
CANNOT_SHOOT_SELF_IN_SAFE	Odtud nemůžu zaútočit na nepřítele.
CANNOT_SKILL_APPROACH	Jsem si jistý, že se už blíž nedostanu.
CANNOT_SKILL_ATTACK	Nemůžu na to zaútočit.
CANNOT_SKILL_DEST_IN_SAFE	Soupeř je příliš daleko.
CANNOT_SKILL_EQUIP_FISHING_ROD	Potřebuji rybářský prut.
CANNOT_SKILL_HAVE_TO_RIDE	Potřebuji nejdřív koně, než to použiji.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nemám prázdnou láhev.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nemám láhev s jedem.
CANNOT_SKILL_NEED_TARGET	Kdo je cíl?
CANNOT_SKILL_NOT_ENOUGH_HP	Nemám dostatek ZB!
CANNOT_SKILL_NOT_ENOUGH_SP	Nemám dostatek MB!
CANNOT_SKILL_NOT_HORSE_SKILL	Když jedu na koni, tohle nemůžu použít.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Tuto schopnost nemůžu nasadit ve spojení s touto zbraní.
CANNOT_SKILL_NOT_YET_LEARN	Tuto schopnost jsem se ještě nenaučil.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	To působí jen na členy skupiny.
CANNOT_SKILL_ONLY_FOR_CORPSE	To působí jen na mrtvé.
