AFF_LOVE_POINT	Πόντοι αγάπης: %d%%
ALIGNMENT_NAME	Βαθμοί:
CANNOT_ATTACK_DEST_IN_SAFE	Ο πολεμιστής είναι πολύ μακριά.
CANNOT_ATTACK_SELF_IN_SAFE	Δε μπορώ να επιτεθώ.
CANNOT_EQUIP_IN_EXCHANGE	Δε μπορείς να αλλάξεις πανοπλία ενώ κάνεις εμπόριο.
CANNOT_EQUIP_IN_SHOP	Δεν μπορείς να αλλάξεις πανοπλία ενώ κάνεις εμπόριο.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Δεν μπορείς να ανοίξεις την ιδιωτική αποθήκη σε δημόσιο χώρο.
CANNOT_SHOOT_DEST_IN_SAFE	Ο εχθρός είναι πολύ μακριά.
CANNOT_SHOOT_EMPTY_ARROW	Χρειάζομαι ένα Βέλος.
CANNOT_SHOOT_SELF_IN_SAFE	Δε μπορώ να το κάνω αυτό.
CANNOT_SKILL_APPROACH	Δε μπορώ να πλησιάσω περισσότερο.
CANNOT_SKILL_ATTACK	Δε μπορώ να επιτεθώ.
CANNOT_SKILL_DEST_IN_SAFE	Ο εχθρός είναι πολύ μακριά.
CANNOT_SKILL_EQUIP_FISHING_ROD	Χρειάζομαι ένα Καλάμι.
CANNOT_SKILL_HAVE_TO_RIDE	Χρειάζομαι πρώτα ένα άλογο για να μπορέσω να το χρησιμοποιήσω αυτό.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Δεν έχω άδειο Μπουκάλι.
CANNOT_SKILL_NEED_POISON_BOTTLE	Δεν έχω Μπουκάλι Δηλητήριου.
CANNOT_SKILL_NEED_TARGET	Ποιος είναι ο στόχος;
CANNOT_SKILL_NOT_ENOUGH_HP	Δεν έχω αρκετή HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Δεν έχω αρκετή SP!
CANNOT_SKILL_NOT_HORSE_SKILL	Δε μπορώ να το χρησιμοποιήσω ενώ ιππεύω.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Δε μπορώ να χρησιμοποιήσω αυτή την Ικανότητα με αυτό το όπλο.
CANNOT_SKILL_NOT_YET_LEARN	Δεν έχω μάθει αυτή την Ικανότητα.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Αυτό επηρεάζει μόνο μέλη της ομάδας.
CANNOT_SKILL_ONLY_FOR_CORPSE	Αυτό επηρεάζει μόνο νεκρούς ανθρώπους.
CANNOT_SKILL_REMOVE_FISHING_ROD	Δε μπορώ να χρησιμοποιήσω αυτή την Ικανότητα με Καλάμι.
CANNOT_SKILL_SELF_IN_SAFE	Δε μπορώ να επιτεθώ από εδώ.
CANNOT_SKILL_USE_SELF	Δε μπορώ να το χρησιμοποιήσω στον εαυτό μου.
CANNOT_SKILL_WAIT_COOLTIME	Δε μπορώ να χρησιμοποιήσω αυτή την Ικανότητα ακόμη.
CANNOT_USE	Δεν μπορείς να το χρησιμοποιήσεις.
CANNOT_WHISPER_DEST_REFUSE	Ο %s έχει απενεργοποιήσει τους ψιθύρους.	SA
CANNOT_WHISPER_NOT_LOGON	Ο %s δεν είναι συνδεδεμένος.	SA
CANNOT_WHISPER_SELF_REFUSE	Δε μπορείς να ψιθυρίσεις αν έχεις απενεργοποιήσει τους ψιθύρους.	SNA
CHANNEL_EMPTY_SERVER	Κενός server
CHANNEL_NORMAL	Κανάλι %d
CHANNEL_NOTIFY_FULL	Το κανάλι είναι γεμάτο! Παρακαλώ διαλέξτε άλλο κανάλι.
CHANNEL_NOT_FIND_INFO	Δεν βρέθηκαν πληροφορίες για το κανάλι.
CHANNEL_PVP	Ελεύθερη μονομαχία
